Model,location,target_end_date,wis,horizon,reference_date,baseline,wis_baseline,wis_ratio
MIGHTE-Nsemble,22,2024-04-20,2.995923875001657,0,2024-04-20,FluSight-baseline,3.6195108695652167,0.8277151203476103
MOBS-GLEAM_FLUH,22,2024-04-20,1.9524760869565216,0,2024-04-20,FluSight-baseline,3.6195108695652167,0.539430922386222
NU_UCSD-GLEAM_AI_FLUH,22,2024-04-20,8.650046521739132,0,2024-04-20,FluSight-baseline,3.6195108695652167,2.3898385261039965
CEPH-Rtrend_fluH,23,2024-04-20,1.9969565217391303,0,2024-04-20,FluSight-baseline,1.2368478260869564,1.614553124176114
FluSight-ensemble,23,2024-04-20,1.826462122967202,0,2024-04-20,FluSight-baseline,1.2368478260869564,1.4767072265839054
MIGHTE-Nsemble,23,2024-04-20,3.1376829507831614,0,2024-04-20,FluSight-baseline,1.2368478260869564,2.536838311556823
MOBS-GLEAM_FLUH,23,2024-04-20,3.829565217391305,0,2024-04-20,FluSight-baseline,1.2368478260869564,3.0962298971790148
NU_UCSD-GLEAM_AI_FLUH,23,2024-04-20,2.311264782608696,0,2024-04-20,FluSight-baseline,1.2368478260869564,1.8686735213990688
CEPH-Rtrend_fluH,24,2024-04-20,2.733478260869566,0,2024-04-20,FluSight-baseline,8.713007913231307,0.3137238354528049
FluSight-ensemble,24,2024-04-20,5.591213693642889,0,2024-04-20,FluSight-baseline,8.713007913231307,0.6417087817804278
MIGHTE-Nsemble,24,2024-04-20,6.31762305064323,0,2024-04-20,FluSight-baseline,8.713007913231307,0.7250794574683539
MOBS-GLEAM_FLUH,24,2024-04-20,2.813250869565217,0,2024-04-20,FluSight-baseline,8.713007913231307,0.32287941174632706
NU_UCSD-GLEAM_AI_FLUH,24,2024-04-20,4.656243913043477,0,2024-04-20,FluSight-baseline,8.713007913231307,0.5344014328246676
CEPH-Rtrend_fluH,25,2024-04-20,11.30826956521738,0,2024-04-20,FluSight-baseline,33.69128556502956,0.33564375403219965
FluSight-ensemble,25,2024-04-20,15.474669504794589,0,2024-04-20,FluSight-baseline,33.69128556502956,0.4593077778206476
MIGHTE-Nsemble,25,2024-04-20,16.63681720234455,0,2024-04-20,FluSight-baseline,33.69128556502956,0.4938017924615205
MOBS-GLEAM_FLUH,25,2024-04-20,7.1359960869565215,0,2024-04-20,FluSight-baseline,33.69128556502956,0.21180539618124425
NU_UCSD-GLEAM_AI_FLUH,25,2024-04-20,12.533160000000002,0,2024-04-20,FluSight-baseline,33.69128556502956,0.37200005253017143
CEPH-Rtrend_fluH,26,2024-04-20,61.815869565217376,0,2024-04-20,FluSight-baseline,126.99436660888352,0.48676072187987296
FluSight-ensemble,26,2024-04-20,72.35619337193529,0,2024-04-20,FluSight-baseline,126.99436660888352,0.5697590791155127
MIGHTE-Nsemble,26,2024-04-20,57.06840444369691,0,2024-04-20,FluSight-baseline,126.99436660888352,0.4493774485245935
MOBS-GLEAM_FLUH,26,2024-04-20,27.002045217391306,0,2024-04-20,FluSight-baseline,126.99436660888352,0.21262396071907694
NU_UCSD-GLEAM_AI_FLUH,26,2024-04-20,29.011945217391307,0,2024-04-20,FluSight-baseline,126.99436660888352,0.22845064700186363
CEPH-Rtrend_fluH,27,2024-04-20,6.468260869565218,0,2024-04-20,FluSight-baseline,17.621358695652177,0.36706936061412626
FluSight-ensemble,27,2024-04-20,7.305391809584143,0,2024-04-20,FluSight-baseline,17.621358695652177,0.414575966346264
MIGHTE-Nsemble,27,2024-04-20,6.760845494738587,0,2024-04-20,FluSight-baseline,17.621358695652177,0.3836733370853367
