Model,Location,MAPE,horizon,reference_date
CEPH-Rtrend_fluH,31,0.8431372549019608,2,2023-12-16
CEPH-Rtrend_fluH,32,0.042682926829268296,2,2023-12-16
CEPH-Rtrend_fluH,33,1.5263157894736843,2,2023-12-16
CEPH-Rtrend_fluH,34,0.5538881309686221,2,2023-12-16
CEPH-Rtrend_fluH,35,0.1940928270042194,2,2023-12-16
CEPH-Rtrend_fluH,36,0.0960536113179449,2,2023-12-16
CEPH-Rtrend_fluH,37,0.5585501858736059,2,2023-12-16
CEPH-Rtrend_fluH,38,0.6666666666666666,2,2023-12-16
CEPH-Rtrend_fluH,39,0.664576802507837,2,2023-12-16
CEPH-Rtrend_fluH,40,0.41605839416058393,2,2023-12-16
CEPH-Rtrend_fluH,41,0.013605442176870748,2,2023-12-16
CEPH-Rtrend_fluH,42,0.4036786060019361,2,2023-12-16
CEPH-Rtrend_fluH,44,0.7872340425531915,2,2023-12-16
CEPH-Rtrend_fluH,45,0.5577812018489985,2,2023-12-16
CEPH-Rtrend_fluH,46,0.3125,2,2023-12-16
CEPH-Rtrend_fluH,47,0.49355432780847147,2,2023-12-16
CEPH-Rtrend_fluH,48,0.31633986928104574,2,2023-12-16
CEPH-Rtrend_fluH,49,0.75,2,2023-12-16
CEPH-Rtrend_fluH,50,0.4473684210526316,2,2023-12-16
CEPH-Rtrend_fluH,51,0.7366621067031464,2,2023-12-16
CEPH-Rtrend_fluH,53,0.2037914691943128,2,2023-12-16
CEPH-Rtrend_fluH,54,0.803921568627451,2,2023-12-16
CEPH-Rtrend_fluH,55,0.21666666666666667,2,2023-12-16
CEPH-Rtrend_fluH,56,0.22972972972972974,2,2023-12-16
CEPH-Rtrend_fluH,US,0.40480266286257727,2,2023-12-16
CEPH-Rtrend_fluH,01,0.6906474820143885,2,2023-12-09
CEPH-Rtrend_fluH,02,1.2,2,2023-12-09
CEPH-Rtrend_fluH,04,0.5914760914760915,2,2023-12-09
CEPH-Rtrend_fluH,05,0.8229166666666666,2,2023-12-09
CEPH-Rtrend_fluH,06,0.35232843137254904,2,2023-12-09
CEPH-Rtrend_fluH,08,0.3611111111111111,2,2023-12-09
CEPH-Rtrend_fluH,09,0.19130434782608696,2,2023-12-09
CEPH-Rtrend_fluH,10,0.7916666666666666,2,2023-12-09
CEPH-Rtrend_fluH,11,0.4782608695652174,2,2023-12-09
CEPH-Rtrend_fluH,12,0.12942366026289182,2,2023-12-09
CEPH-Rtrend_fluH,13,0.599195710455764,2,2023-12-09
CEPH-Rtrend_fluH,15,0.7142857142857143,2,2023-12-09
CEPH-Rtrend_fluH,16,0.7565217391304347,2,2023-12-09
CEPH-Rtrend_fluH,17,0.10775862068965517,2,2023-12-09
CEPH-Rtrend_fluH,18,0.15734265734265734,2,2023-12-09
CEPH-Rtrend_fluH,19,0.15555555555555556,2,2023-12-09
CEPH-Rtrend_fluH,20,0.31868131868131866,2,2023-12-09
CEPH-Rtrend_fluH,21,0.12408759124087591,2,2023-12-09
CEPH-Rtrend_fluH,22,0.6026058631921825,2,2023-12-09
CEPH-Rtrend_fluH,23,0.375,2,2023-12-09
CEPH-Rtrend_fluH,24,0.07004830917874397,2,2023-12-09
CEPH-Rtrend_fluH,25,0.23825503355704697,2,2023-12-09
CEPH-Rtrend_fluH,26,0.2857142857142857,2,2023-12-09
CEPH-Rtrend_fluH,27,0.3181818181818182,2,2023-12-09
CEPH-Rtrend_fluH,28,0.34,2,2023-12-09
CEPH-Rtrend_fluH,29,0.049107142857142856,2,2023-12-09
CEPH-Rtrend_fluH,30,0.2692307692307692,2,2023-12-09
CEPH-Rtrend_fluH,31,0.7924528301886793,2,2023-12-09
CEPH-Rtrend_fluH,32,0.5189873417721519,2,2023-12-09
CEPH-Rtrend_fluH,33,0.7804878048780488,2,2023-12-09
CEPH-Rtrend_fluH,34,0.0020408163265306124,2,2023-12-09
CEPH-Rtrend_fluH,35,0.33620689655172414,2,2023-12-09
CEPH-Rtrend_fluH,36,0.09839572192513368,2,2023-12-09
CEPH-Rtrend_fluH,37,0.35607094133697137,2,2023-12-09
CEPH-Rtrend_fluH,38,0.23076923076923078,2,2023-12-09
CEPH-Rtrend_fluH,39,0.19626168224299065,2,2023-12-09
CEPH-Rtrend_fluH,40,0.2848101265822785,2,2023-12-09
CEPH-Rtrend_fluH,41,0.7766990291262136,2,2023-12-09
CEPH-Rtrend_fluH,42,0.09026798307475317,2,2023-12-09
CEPH-Rtrend_fluH,44,0.5,2,2023-12-09
CEPH-Rtrend_fluH,45,0.33966745843230406,2,2023-12-09
CEPH-Rtrend_fluH,46,0.7272727272727273,2,2023-12-09
CEPH-Rtrend_fluH,47,0.38095238095238093,2,2023-12-09
CEPH-Rtrend_fluH,48,0.13026211278792693,2,2023-12-09
CEPH-Rtrend_fluH,49,0.3620689655172414,2,2023-12-09
CEPH-Rtrend_fluH,50,0.5416666666666666,2,2023-12-09
CEPH-Rtrend_fluH,51,0.5465393794749404,2,2023-12-09
CEPH-Rtrend_fluH,53,0.4258064516129032,2,2023-12-09
CEPH-Rtrend_fluH,54,0.5853658536585366,2,2023-12-09
CEPH-Rtrend_fluH,55,0.24064171122994651,2,2023-12-09
CEPH-Rtrend_fluH,56,0.10344827586206896,2,2023-12-09
CEPH-Rtrend_fluH,US,0.26793973833751816,2,2023-12-09
CEPH-Rtrend_fluH,01,0.44370860927152317,2,2023-12-02
CEPH-Rtrend_fluH,02,3.25,2,2023-12-02
CEPH-Rtrend_fluH,04,0.6023102310231023,2,2023-12-02
CEPH-Rtrend_fluH,05,0.5283018867924528,2,2023-12-02
CEPH-Rtrend_fluH,06,0.4106425702811245,2,2023-12-02
CEPH-Rtrend_fluH,08,0.32272727272727275,2,2023-12-02
CEPH-Rtrend_fluH,09,0.05,2,2023-12-02
CEPH-Rtrend_fluH,10,0.7222222222222222,2,2023-12-02
CEPH-Rtrend_fluH,11,4.8,2,2023-12-02
CEPH-Rtrend_fluH,12,0.1481042654028436,2,2023-12-02
CEPH-Rtrend_fluH,13,0.6628959276018099,2,2023-12-02
CEPH-Rtrend_fluH,15,0.1111111111111111,2,2023-12-02
